feature,importance
tenure,0.19281113662255334
TotalCharges,0.15814459099038483
MonthlyCharges,0.132615820693734
InternetService_Fiber optic,0.0877711020117589
Contract_Two year,0.061635310490081245
PaymentMethod_Electronic check,0.0583327395726664
Contract_One year,0.038426012611711156
InternetService_No,0.03384230680033909
PaperlessBilling,0.028444631751944702
TechSupport,0.02367810157142308
OnlineSecurity,0.022372683489894005
OnlineBackup,0.016901170482511534
Dependents,0.015941185054895068
gender,0.015618894738494609
MultipleLines_Yes,0.015409033774979139
Partner,0.014910468064024431
StreamingMovies,0.014859235158405967
SeniorCitizen,0.014504215617450002
StreamingTV,0.012873135572901961
DeviceProtection,0.011952282630464295
PaymentMethod_Mailed check,0.00988073333473487
PaymentMethod_Credit card (automatic),0.009402631262222542
MultipleLines_No phone service,0.004913063934220466
PhoneService,0.004759513768204384
