feature,count,mean,std,min,25%,50%,75%,max
Gender,7032.0,0.5046928327645052,0.5000135308251334,0.0,0.0,1.0,1.0,1.0
SeniorCitizen,7032.0,0.16240045506257111,0.3688439967571051,0.0,0.0,0.0,0.0,1.0
Partner,7032.0,0.4825085324232082,0.4997294886907991,0.0,0.0,0.0,1.0,1.0
Dependents,7032.0,0.2984926052332196,0.45762927299583706,0.0,0.0,0.0,1.0,1.0
Tenure,7032.0,32.421786120591584,24.545259709263256,1.0,9.0,29.0,55.0,72.0
PhoneService,7032.0,0.9032992036405005,0.2955709320291018,0.0,1.0,1.0,1.0,1.0
OnlineSecurity,7032.0,0.286547212741752,0.45218025637907777,0.0,0.0,0.0,1.0,1.0
OnlineBackup,7032.0,0.34485210466439137,0.4753538301712343,0.0,0.0,0.0,1.0,1.0
DeviceProtection,7032.0,0.3438566552901024,0.4750277308912676,0.0,0.0,0.0,1.0,1.0
TechSupport,7032.0,0.2901023890784983,0.45384169447176065,0.0,0.0,0.0,1.0,1.0
StreamingTV,7032.0,0.3843856655290102,0.4864843074333494,0.0,0.0,0.0,1.0,1.0
StreamingMovies,7032.0,0.3883674630261661,0.48741354217682575,0.0,0.0,0.0,1.0,1.0
PaperlessBilling,7032.0,0.5927189988623436,0.49136292225652883,0.0,0.0,1.0,1.0,1.0
MonthlyCharges,7032.0,64.79820819112628,30.085973884049842,18.25,35.587500000000006,70.35,89.86249999999998,118.75
TotalCharges,7032.0,2283.300440841866,2266.771361883145,18.8,401.45,1397.475,3794.7375,8684.8
Churn,7032.0,0.26578498293515357,0.44178171135255495,0.0,0.0,0.0,1.0,1.0
MultipleLines_No phone service,7032.0,0.09670079635949944,0.2955709320291018,0.0,0.0,0.0,0.0,1.0
MultipleLines_Yes,7032.0,0.42192832764505117,0.49390232221945995,0.0,0.0,0.0,1.0,1.0
InternetService_Fiber optic,7032.0,0.4402730375426621,0.49645517361249863,0.0,0.0,0.0,1.0,1.0
InternetService_No,7032.0,0.2161547212741752,0.41165028310107404,0.0,0.0,0.0,0.0,1.0
Contract_One year,7032.0,0.20932878270762229,0.4068584317786347,0.0,0.0,0.0,0.0,1.0
Contract_Two year,7032.0,0.2396188850967008,0.4268812352987827,0.0,0.0,0.0,0.0,1.0
PaymentMethod_Credit card (automatic),7032.0,0.21629692832764505,0.41174831685737534,0.0,0.0,0.0,0.0,1.0
PaymentMethod_Electronic check,7032.0,0.3363196814562002,0.472483332716697,0.0,0.0,0.0,1.0,1.0
PaymentMethod_Mailed check,7032.0,0.22810011376564276,0.4196373361452227,0.0,0.0,0.0,0.0,1.0
